Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
Edison State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/edison-state-college-1477\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Edward Waters College,http://premium.usnews.com/best-colleges/\%22/best-colleges/edward-waters-college-1478\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Elizabeth City State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/elizabeth-city-state-university-2926\%22,"#21, Regional Colleges (South)",45.58%,3,930 / 18
Elizabethtown College,http://premium.usnews.com/best-colleges/\%22/best-colleges/elizabethtown-college-3262\%22,"#4, Regional Colleges (North)",69.61%,N/A,1220 / 27
Elmhurst College,http://premium.usnews.com/best-colleges/\%22/best-colleges/elmhurst-college-1676\%22,"#11, Regional Universities (Midwest)",68.13%,3.4,1200 / 26
Elmira College,http://premium.usnews.com/best-colleges/\%22/best-colleges/elmira-college-2718\%22,"#9, Regional Colleges (North)",88.91%,3.2,1200 / 27
Elon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/elon-university-2927\%22,"#1, Regional Universities (South)",51.68%,4,1320 / 29
Embry-Riddle Aeronautical University,http://premium.usnews.com/best-colleges/\%22/best-colleges/embry-riddle-aeronautical-university-1479\%22,"#11, Regional Universities (South)",71.61%,3.6,1230 / 28
Embry-Riddle Aeronautical University--Prescott,http://premium.usnews.com/best-colleges/\%22/best-colleges/embry-riddle-aeronautical-university-prescott-666090\%22,Unranked,N/A,3.6,1275 / 29
Emerson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/emerson-college-2146\%22,"#11, Regional Universities (North)",48.43%,3.6,1330 / 29
Emmanuel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/emmanuel-college-1563\%22,"#57, Regional Colleges (South)",50.87%,3.2,1090
Emmanuel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/emmanuel-college-2147\%22,"#54, Regional Universities (North)",50.01%,3.6,1200 / 26
Emmaus Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/emmaus-bible-college-23289\%22,Unranked,N/A,N/A,N/A
Emory and Henry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/emory-and-henry-college-3709\%22,"#173, National Liberal Arts Colleges",72.26%,3.5,1115 / 26
Emory University,http://premium.usnews.com/best-colleges/\%22/best-colleges/emory-university-1564\%22,"#20, National Universities",26.33%,3.8,1460 / 32
Emporia State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/emporia-state-university-1927\%22,"#92, Regional Universities (Midwest)",72.33%,3.3,1204 / 25
Endicott College,http://premium.usnews.com/best-colleges/\%22/best-colleges/endicott-college-2148\%22,"#74, Regional Universities (North)",63.40%,3.3,1160 / 25
Erskine College,http://premium.usnews.com/best-colleges/\%22/best-colleges/erskine-college-3432\%22,"#180, National Liberal Arts Colleges",66.82%,N/A,N/A
Escuela de Artes Plasticas de Puerto Rico,http://premium.usnews.com/best-colleges/\%22/best-colleges/escuela-de-artes-plasticas-de-puerto-rico-25694\%22,Unranked,N/A,N/A,N/A
Eureka College,http://premium.usnews.com/best-colleges/\%22/best-colleges/eureka-college-1678\%22,"#32, Regional Colleges (Midwest)",84.13%,3.3,N/A / 27
Evangel University,http://premium.usnews.com/best-colleges/\%22/best-colleges/evangel-university-2463\%22,"#51, Regional Colleges (Midwest)",66.59%,N/A,1190 / 25
Everest College--Phoenix,http://premium.usnews.com/best-colleges/\%22/best-colleges/everest-college-phoenix-22950\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
Everglades University,http://premium.usnews.com/best-colleges/\%22/best-colleges/everglades-university-31085\%22,"Unranked, Regional Colleges (South)",100.00%,N/A,N/A
Evergreen State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/evergreen-state-college-8155\%22,"#27, Regional Universities (West)",98.42%,3,1230 / 27
Excelsior College,http://premium.usnews.com/best-colleges/\%22/best-colleges/excelsior-college-11716\%22,"Unranked, Regional Universities (North)",N/A,N/A,N/A
Fairfield University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fairfield-university-1385\%22,"#3, Regional Universities (North)",71.16%,3.4,1250 / 27
Fairleigh Dickinson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fairleigh-dickinson-university-8770\%22,"#69, Regional Universities (North)",52.87%,N/A,1120
Fairmont State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fairmont-state-university-3812\%22,"RNP, Regional Universities (South)",65.65%,3.2,1060 / 23
Faith Baptist Bible College and Theological Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/faith-baptist-bible-college-and-theological-seminary-7121\%22,Unranked,N/A,N/A,N/A
Farmingdale State College--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/farmingdale-state-college-suny-2858\%22,"#27, Regional Colleges (North)",52.65%,3.2,1100 / 24
Fashion Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/fashion-institute-of-technology-2866\%22,"Unranked, Regional Universities (North)",44.84%,N/A,N/A
Faulkner University,http://premium.usnews.com/best-colleges/\%22/best-colleges/faulkner-university-1003\%22,"#48, Regional Colleges (South)",60.38%,3.1,1070 / 23
Fayetteville State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fayetteville-state-university-2928\%22,"RNP, Regional Universities (South)",54.96%,2.9,920 / 19
Felician College,http://premium.usnews.com/best-colleges/\%22/best-colleges/felician-college-2610\%22,"RNP, Regional Universities (North)",89.76%,2.9,950 / 21
Ferris State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ferris-state-university-2260\%22,"#62, Regional Universities (Midwest)",70.94%,3.2,N/A / 24
Ferrum College,http://premium.usnews.com/best-colleges/\%22/best-colleges/ferrum-college-3711\%22,"#44, Regional Colleges (South)",92.39%,2.8,990 / 21
Finlandia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/finlandia-university-2322\%22,"RNP, Regional Colleges (Midwest)",66.40%,N/A,N/A
Fisher College,http://premium.usnews.com/best-colleges/\%22/best-colleges/fisher-college-2150\%22,"RNP, Regional Colleges (North)",63.90%,2.3,940 / 20
Fisk University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fisk-university-3490\%22,"#146, National Liberal Arts Colleges",100.00%,N/A,N/A
Fitchburg State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fitchburg-state-university-2184\%22,"RNP, Regional Universities (North)",72.11%,N/A,1090 / 22
Five Towns College,http://premium.usnews.com/best-colleges/\%22/best-colleges/five-towns-college-121561\%22,"RNP, Regional Colleges (North)",40.94%,2.5,1150 / 20
Flagler College,http://premium.usnews.com/best-colleges/\%22/best-colleges/flagler-college-7893\%22,"#8, Regional Colleges (South)",41.50%,N/A,1180 / 25
Florida A&M University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-am-university-1480\%22,"RNP, National Universities",48.63%,3.2,1040 / 22
Florida Atlantic University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-atlantic-university-1481\%22,"RNP, National Universities",39.00%,3.5,1150 / 25
Florida Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-christian-college-21567\%22,Unranked,N/A,N/A,N/A
Florida College,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-college-1482\%22,"RNP, Regional Colleges (South)",72.67%,N/A,1180 / 25
Florida Gulf Coast University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-gulf-coast-university-32553\%22,"#79, Regional Universities (South)",67.62%,3.4,1110 / 23
Florida Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-institute-of-technology-1469\%22,"#167, National Universities",59.05%,3.5,1250 / 28
Florida International University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-international-university-9635\%22,"RNP, National Universities",40.46%,3.7,1220 / 27
Florida Memorial University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-memorial-university-1486\%22,"Unranked, Regional Universities (South)",N/A,N/A,N/A
Florida Southern College,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-southern-college-1488\%22,"#5, Regional Colleges (South)",55.69%,3.6,1190 / 27
Florida State College--Jacksonville,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-state-college-jacksonville-1484\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Florida State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/florida-state-university-1489\%22,"#91, National Universities",53.68%,3.9,1280 / 29
Fontbonne University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fontbonne-university-2464\%22,"#102, Regional Universities (Midwest)",62.91%,N/A,930 / 25
Fordham University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fordham-university-2722\%22,"#57, National Universities",42.92%,3.6,1350 / 30
Fort Hays State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fort-hays-state-university-1915\%22,"RNP, Regional Universities (Midwest)",81.00%,3.3,1230 / 23
Fort Lewis College,http://premium.usnews.com/best-colleges/\%22/best-colleges/fort-lewis-college-1353\%22,"RNP, National Liberal Arts Colleges",87.34%,3.2,1261 / 24
Fort Valley State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fort-valley-state-university-1566\%22,"RNP, Regional Colleges (South)",35.60%,2.7,900 / 18
Framingham State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/framingham-state-university-2185\%22,"RNP, Regional Universities (North)",51.67%,3.2,1130 / 25
Francis Marion University,http://premium.usnews.com/best-colleges/\%22/best-colleges/francis-marion-university-9226\%22,"#73, Regional Universities (South)",58.85%,3.6,1060 / 22
Franciscan University of Steubenville,http://premium.usnews.com/best-colleges/\%22/best-colleges/franciscan-university-of-steubenville-3036\%22,"#28, Regional Universities (Midwest)",76.05%,3.7,1270 / 29
Frank Lloyd Wright School of Architecture,http://premium.usnews.com/best-colleges/\%22/best-colleges/frank-lloyd-wright-school-of-architecture-25332\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Franklin and Marshall College,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-and-marshall-college-3265\%22,"#45, National Liberal Arts Colleges",39.31%,3.5,1400 / 31
Franklin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-college-1798\%22,"#6, Regional Colleges (Midwest)",64.98%,3.4,1100 / 24
Franklin College Switzerland,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-college-switzerland-CH0001\%22,Unranked,N/A,3.3,1310 / 28
Franklin Pierce University,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-pierce-university-2575\%22,"#126, Regional Universities (North)",84.76%,2.7,1080 / 21
Franklin University,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-university-3046\%22,"Unranked, Business Schools",N/A,N/A,N/A
Franklin W. Olin College of Engineering,http://premium.usnews.com/best-colleges/\%22/best-colleges/franklin-w-olin-college-of-engineering-39463\%22,"Unranked, Engineering Schools",19.21%,3.9,1565 / 34
Freed-Hardeman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/freed-hardeman-university-3492\%22,"#35, Regional Universities (South)",43.66%,3.5,1190 / 28
Fresno Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/fresno-pacific-university-1253\%22,"#42, Regional Universities (West)",82.07%,3.8,1120 / 25
Friends University,http://premium.usnews.com/best-colleges/\%22/best-colleges/friends-university-1918\%22,"RNP, Regional Universities (Midwest)",64.02%,N/A,N/A
Frostburg State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/frostburg-state-university-2072\%22,"#135, Regional Universities (North)",59.23%,3.2,1070 / 22
Furman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/furman-university-3434\%22,"#52, National Liberal Arts Colleges",77.48%,N/A,1310 / 29
Gallaudet University,http://premium.usnews.com/best-colleges/\%22/best-colleges/gallaudet-university-1443\%22,"#22, Regional Universities (North)",61.49%,N/A,1060 / 20
Gannon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/gannon-university-3266\%22,"#54, Regional Universities (North)",83.13%,3.5,1130 / 25
Gardner-Webb University,http://premium.usnews.com/best-colleges/\%22/best-colleges/gardner-webb-university-2929\%22,"#41, Regional Universities (South)",54.67%,3.6,1130 / 25
Geneva College,http://premium.usnews.com/best-colleges/\%22/best-colleges/geneva-college-3267\%22,"#17, Regional Colleges (North)",72.29%,3.5,1200 / 27
George Fox University,http://premium.usnews.com/best-colleges/\%22/best-colleges/george-fox-university-3194\%22,"#24, Regional Universities (West)",75.49%,3.6,1250 / 27
George Mason University,http://premium.usnews.com/best-colleges/\%22/best-colleges/george-mason-university-3749\%22,"#141, National Universities",65.75%,3.7,1250 / 28
George Washington University,http://premium.usnews.com/best-colleges/\%22/best-colleges/george-washington-university-1444\%22,"#52, National Universities",33.08%,N/A,1390 / 31
Georgetown College,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgetown-college-1964\%22,"#146, National Liberal Arts Colleges",82.19%,3.4,1170 / 26
Georgetown University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgetown-university-1445\%22,"#20, National Universities",16.97%,N/A,1500 / 33
Georgia College & State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-college-state-university-1602\%22,"#29, Regional Universities (South)",66.27%,3.4,1230 / 26
Georgia Gwinnett College,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-gwinnett-college-41429\%22,"#57, Regional Colleges (South)",90.73%,2.7,1050 / 21
Georgia Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-institute-of-technology-1569\%22,"#36, National Universities",54.93%,3.9,1460 / 32
Georgia Regents University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-regents-university-1579\%22,Unranked,N/A,N/A,N/A
Georgia Southern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-southern-university-1572\%22,"RNP, National Universities",52.00%,3.2,1190 / 25
Georgia Southwestern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-southwestern-state-university-1573\%22,"RNP, Regional Universities (South)",66.36%,3.2,1080 / 22
Georgia State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgia-state-university-1574\%22,"RNP, National Universities",57.41%,3.3,1170 / 25
Georgian Court University,http://premium.usnews.com/best-colleges/\%22/best-colleges/georgian-court-university-2608\%22,"#111, Regional Universities (North)",64.84%,3.1,1000
Gettysburg College,http://premium.usnews.com/best-colleges/\%22/best-colleges/gettysburg-college-3268\%22,"#50, National Liberal Arts Colleges",40.28%,N/A,1360 / 29
Glenville State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/glenville-state-college-3813\%22,"#71, Regional Colleges (South)",84.07%,2.8,920 / 21
God's Bible School and College,http://premium.usnews.com/best-colleges/\%22/best-colleges/gods-bible-school-and-college-22205\%22,Unranked,N/A,N/A,N/A
